,pl,be,uk,ru,bg,sl,cs
5586,Adolphe Sax,Адольф Сакс,Адольф Сакс,Адольф Сакс,Адолф Сакс,Adolphe Sax,Adolphe Sax
5587,Gieorgij Danelija,Георгій Мікалаевіч Данелія,Георгій Данелія,Георгий Данелия,Георгий Данелия,Georgij Nikolajevič Danelija,Georgij Danělija
5588,Gieorgij Danelija,Георгій Данелія,Георгій Данелія,Георгий Данелия,Георгий Данелия,Georgij Nikolajevič Danelija,Georgij Danělija
5589,Walther von der Vogelweide,Вальтэр фон дэр Фогельвайдэ,Вальтер фон дер Фоґельвайде,Вальтер фон дер Фогельвейде,Валтер фон дер Фогелвайде,Walther von der Vogelweide,Walther von der Vogelweide
5590,Walther von der Vogelweide,Вальтэр фон дэр Фогельвейдэ,Вальтер фон дер Фоґельвайде,Вальтер фон дер Фогельвейде,Валтер фон дер Фогелвайде,Walther von der Vogelweide,Walther von der Vogelweide
5591,Joanis Metaksas,Іааніс Метаксас,Іоанніс Метаксас,Иоаннис Метаксас,Йоанис Метаксас,Joanis Metaksas,Ioannis Metaxas
5592,François Darlan,Франсуа Дарлан,Франсуа Дарлан,Франсуа Дарлан,Франсоа Дарлан,François-Jean Darlan,François Darlan
5593,Saddam Husajn,С. Хусейн,Саддам Хусейн,Саддам Хусейн,Саддам Хюсеин,Sadam Husein,Saddám Husajn
5594,Ludwik IV Bawarski,Людовік IV ,Людовик IV ,Людовик IV ,Лудвиг IV ,Ludvik IV. Wittelsbaški,Ludvík IV. Bavor
5595,Ludwik IV Bawarski,Людвіг IV Баварскі,Людовик IV ,Людовик IV ,Лудвиг IV ,Ludvik IV. Wittelsbaški,Ludvík IV. Bavor
5596,Ludwik IV Bawarski,Людвіг IV,Людовик IV ,Людовик IV ,Лудвиг IV ,Ludvik IV. Wittelsbaški,Ludvík IV. Bavor
5597,Ludwik IV Bawarski,Людвіг IV,Людовик IV ,Людовик IV ,Лудвиг IV ,Ludvik IV. Wittelsbaški,Ludvík IV. Bavor
5598,Ludwik II Niemiecki,Людовік Нямецкі,Людовик II Німецький,Людовик II Немецкий,Лудвиг Немски,Ludvik Nemški,Ludvík II. Němec
5599,Ludwik II Niemiecki,Людовік II Нямецкі,Людовик II Німецький,Людовик II Немецкий,Лудвиг Немски,Ludvik Nemški,Ludvík II. Němec
5600,Josef Suk ,Ёсеф Сук,Йозеф Сук,Йозеф Сук,Йозеф Сук,Josef Suk ,Josef Suk starší
5601,Tomáš Masaryk,Т. Г. Масарык,Гарріг Томаш,Томаш Масарик,Томаш Масарик,Tomáš Garrigue Masaryk,Tomáš Garrigue Masaryk
5602,Josef Suk ,Іозеф Сук старэйшы,Йозеф Сук,Йозеф Сук,Йозеф Сук,Josef Suk ,Josef Suk starší
5603,Izabela I Katolicka,Ізабела I,Ізабела I ,Изабелла I ,Исабела I Кастилска,Izabela I. Kastiljska,Isabela Kastilská
5604,Joachim Murat,Мюрат,Йоахім Мюрат,Иоахим Мюрат,Жоашен Мюра,Joachim Murat,Joachim Murat
5605,Richard Dedekind,Юліус Вільгельм Рыхард Дэдэкінд,Ріхард Дедекінд,Рихард Дедекинд,Рихард Дедекинд,Julius Wilhelm Richard Dedekind,Richard Dedekind
5606,Richard Dedekind,Рыхард Дэдэкінд,Ріхард Дедекінд,Рихард Дедекинд,Рихард Дедекинд,Julius Wilhelm Richard Dedekind,Richard Dedekind
5607,Richard Dedekind,Дэдэкінд,Ріхард Дедекінд,Рихард Дедекинд,Рихард Дедекинд,Julius Wilhelm Richard Dedekind,Richard Dedekind
5608,Carl Friedrich Gauss,Карл Гаус,Фрідріх Карл,Карл Гаусс,Карл Фридрих Гаус,Carl Friedrich Gauss,Carl Friedrich Gauss
5609,Peter Gustav Lejeune Dirichlet,Лежон-Дзірыхле,Йоганн Петер Густав Лежен-Діріхле,Петер Дирихле,Петер Густав Льожон Дирихле,Johann Peter Gustav Lejeune Dirichlet,Johann Peter Gustav Lejeune Dirichlet
5610,Filip I Piękny,Філіп I Прыгожы,Філіп I Вродливий,Филипп I Красивый,Филип I ,Filip I. Kastiljski,Filip I. Kastilský
5611,Filip I Piękny,Філіп Аўстрыйскі,Філіп I Вродливий,Филипп I Красивый,Филип I ,Filip I. Kastiljski,Filip I. Kastilský
5612,Filip I Piękny,Феліпэ I Кастыльскі,Філіп I Вродливий,Филипп I Красивый,Филип I ,Filip I. Kastiljski,Filip I. Kastilský
5613,Filip I Piękny,Філіп I,Філіп I Вродливий,Филипп I Красивый,Филип I ,Filip I. Kastiljski,Filip I. Kastilský
5614,Filip I Piękny,Філіп I,Філіп I Вродливий,Филипп I Красивый,Филип I ,Filip I. Kastiljski,Filip I. Kastilský
5615,Filip I Piękny,Філіп I Кастыльскі,Філіп I Вродливий,Филипп I Красивый,Филип I ,Filip I. Kastiljski,Filip I. Kastilský
5616,Filip I Piękny,Філіп IV,Філіп I Вродливий,Филипп I Красивый,Филип I ,Filip I. Kastiljski,Filip I. Kastilský
5617,Filip I Piękny,Філіп I Габсбург,Філіп I Вродливий,Филипп I Красивый,Филип I ,Filip I. Kastiljski,Filip I. Kastilský
5618,Joanna Szalona,Іаана Вар'ятка,Хуана I ,Хуана I Безумная,Хуана Кастилска,Ivana Blazna,Jana I. Kastilská
5619,Joanna Szalona,Іаана I,Хуана I ,Хуана I Безумная,Хуана Кастилска,Ivana Blazna,Jana I. Kastilská
5620,Ludwik II Jagiellończyk,Людовік II,Людовик II ,Людовик II ,Лайош II,Ludvik II. Jagelo,Ludvík Jagellonský
5621,János Hunyady,Ян Хуньядзі,Янош Гуньяді,Янош Хуньяди,Янош Хуняди,János Hunyadi,János Hunyadi
5622,János Hunyady,Янаш Хуньядзі,Янош Гуньяді,Янош Хуньяди,Янош Хуняди,János Hunyadi,János Hunyadi
5623,Władysław Pogrobowiec,Ладзіслаў Постум,Владислав Посмертний,Ладислав Постум,Владислав Посмъртни,Ladislav Posmrtni,Ladislav Pohrobek
5624,Sylwester II,Сільвестр II,Сильвестр II,Сильвестр II,Силвестър II,Papež Silvester II,Silvestr II
5625,Sylwester II,Сільвестр II,Сильвестр II,Сильвестр II,Силвестър II,Papež Silvester II,Silvestr II
5626,Grzegorz V ,Грыгорый V ,Григорій V,Григорий V ,Григорий V ,Papež Gregor V,Řehoř V
5627,Zygmunt Luksemburski,Жыгімонт I,Сигізмунд Люксембург,Сигизмунд ,Сигизмунд Люксембургски,Sigismund Luksemburški,Zikmund Lucemburský
5628,Władysław Pogrobowiec,Ласла V,Владислав Посмертний,Ладислав Постум,Владислав Посмъртни,Ladislav Posmrtni,Ladislav Pohrobek
5629,Władysław Pogrobowiec,Ладзіслаў I,Владислав Посмертний,Ладислав Постум,Владислав Посмъртни,Ladislav Posmrtni,Ladislav Pohrobek
5630,Władysław Pogrobowiec,Ладзіслаў I,Владислав Посмертний,Ладислав Постум,Владислав Посмъртни,Ladislav Posmrtni,Ladislav Pohrobek
5631,Umar ibn al-Chattab,Умар ібн Хатаб,Умар ібн аль-Хаттаб,Умар ибн аль-Хаттаб,Омар ,Omar ,Umar ibn al-Chattáb
5632,Philippe Marie Leclerc,Філіп Леклерк,Філіпп Леклерк,Филипп Леклерк,Филип Льоклер дьо Отклок,Philippe Leclerc de Hauteclocque,Philippe Leclerc de Hauteclocque
5633,Karol Robert,Карл I Роберт,Карл I Роберт,Карл Роберт,Карл Роберт,Karel I. Ogrski,Karel I. Robert
5634,Demetriusz I Soter,Дэметрый I Сатэр,Деметрій I Сотер,Деметрий I Сотер,Деметрий I Сотер,Demetrij I. Soter,Démétrios I. Sótér
5635,Kassander,Касандр,Кассандр Македонський,Кассандр,Касандър,Kasander Makedonski,Kassandros
5636,Hygin ,Гігін,Гігін,Гигин ,Хигин ,Papež Higin,Hyginus
5637,Mitrydates VI Eupator,Мітрыдат VI,Мітрідат Євпатор,Митридат VI,Митридат VI,Mitridat VI. Pontski,Mithridatés VI. Pontský
5638,Eudoksos z Knidos,Еўдокс,Евдокс Кнідський,Евдокс Книдский,Евдокс от Книд,Evdoks,Eudoxos z Knidu
5639,Eudoksos z Knidos,Еўдокс Кнідскі,Евдокс Кнідський,Евдокс Книдский,Евдокс от Книд,Evdoks,Eudoxos z Knidu
5640,Peter Apianus,Пётр Апіян,Петер Апіан,Петер Апиан,Петер Апиан,Peter Apian,Petr Apian
5641,Peter Apianus,Петэр Апіян,Петер Апіан,Петер Апиан,Петер Апиан,Peter Apian,Petr Apian
5642,Filip I Koburg,Філіп,Філіп I,Филипп ,Филип ,Filip Belgijski,Filip Belgický
5643,Bahram II,Бахрам II,Бахрам II,Бахрам II,Бахрам II,Bahram II,Bahrám II
5644,Hormizdas II,Армізд II,Ормізд II,Ормизд II,Хормазд II,Hormizd II,Hormizd II
5645,Szapur II,Шапур II,Шапур II,Шапур II,Шапур II,Šapur II,Šápúr II
5646,Dariusz I Wielki,Дарый Вялікі,Дарій I Великий,Дарий I,Дарий I,Darej I,Dareios I
5647,Philip Miller,P. Mill,Філіп Міллер,Филип Миллер,Филип Милър,Philip Miller,Philip Miller
5648,Hadrian IV,Адрыян IV,Адріан IV,Адриан IV,Адриан IV ,Papež Hadrijan IV,Hadrián IV
5649,Karol ,Прынц Чарльз,принц Чарльз,принц Чарльз,Чарлз ,Charles,Charles
5650,Henryk ,Гары,герцог Гаррі,герцог Гарри,Хенри Маунтбатън-Уиндзор,Princ Harry,Princ Harry
5651,Herod Antypas,Ірад Антыпа,Ірод Антипа,Ирод Антипа,Ирод Антипа,Herod Antipa,Héródés Antipas
5652,Fra Angelico,Фра Беата Анжэліка,Фра Анджеліко,Фра Беато Анджелико,Фра Анджелико,Fra Angelico,Fra Angelico
5653,Antoine Perrenot de Granvelle,Нікалас Перэна дэ Гранвела,Антуан Перрено де Гранвель,Антуан Гранвела,Антоан Перено дьо Гранвел,Antoine Perrenot de Granvelle,Antoine Perrenot de Granvelle
5654,Antoine Perrenot de Granvelle,Антуан Перэна дэ Гранвела,Антуан Перрено де Гранвель,Антуан Гранвела,Антоан Перено дьо Гранвел,Antoine Perrenot de Granvelle,Antoine Perrenot de Granvelle
5655,Aleksander Farnese ,Алесандра Пармскі,Алессандро Фарнезе ,Алессандро Фарнезе,Алесандро Фарнезе ,Alessandro Farnese,Alessandro Farnese
5656,Aleksander Farnese ,Алесандра Фарнезэ ,Алессандро Фарнезе ,Алессандро Фарнезе,Алесандро Фарнезе ,Alessandro Farnese,Alessandro Farnese
5657,Antoine Perrenot de Granvelle,Антуан Перэна дэ Гранвель,Антуан Перрено де Гранвель,Антуан Гранвела,Антоан Перено дьо Гранвел,Antoine Perrenot de Granvelle,Antoine Perrenot de Granvelle
5658,Ferdynand IV Habsburg,Фердынанд IV,Фердинанд IV Габсбург,Фердинанд IV Габсбург,Фердинанд IV Хабсбург,Ferdinand IV. Habsburški,Ferdinand IV. Habsburský
5659,Ludwik II Jagiellończyk,Лаяш II,Людовик II ,Людовик II ,Лайош II,Ludvik II. Jagelo,Ludvík Jagellonský
5660,Charles Gounod,Ш. Гуно,Шарль Гуно,Шарль Гуно,Шарл Гуно,Charles Gounod,Charles Gounod
5661,Jean Baptiste Racine,Ж. Расін,Жан Расін,Жан Расин,Жан Расин,Jean Racine,Jean Racine
5662,Ferdynand I Habsburg ,Фердынанд I,Фердинанд I ,Фердинанд I ,Фердинанд I ,Ferdinand I. Habsburško-Lotarinški,Ferdinand I. Dobrotivý
5663,Ferdynand I Habsburg ,Фердынанд I ,Фердинанд I ,Фердинанд I ,Фердинанд I ,Ferdinand I. Habsburško-Lotarinški,Ferdinand I. Dobrotivý
5664,Franciszek II Habsburg,Франц II,Франц II,Франц II,Франц II,Franc I. Habsburško-Lotarinški,František I. Rakouský
5665,Klemens von Metternich,Метэрніх,фон Клемент,Клеменс Меттерних,Клеменс фон Метерних,Klemens Wenzel von Metternich,Klemens Wenzel von Metternich
5666,Scypion Afrykański Starszy,Публій Карнелій Сцыпіён Афрыканскі,Публій Корнелій Сципіон Африканський,Публий Корнелий Сципион Африканский,Сципион Африкански,Publij Kornelij Scipion Afričan,Scipio Africanus
5667,Manuel II Paleolog,Мануіл II,Мануїл II,Мануил II Палеолог,Мануил II Палеолог,Manuel II. Paleolog,Manuel II. Palaiologos
5668,Manuel II Paleolog,Мануіл II Палеалог,Мануїл II,Мануил II Палеолог,Мануил II Палеолог,Manuel II. Paleolog,Manuel II. Palaiologos
5669,Zygmunt Luksemburski,Імператар Жыгімонт,Сигізмунд Люксембург,Сигизмунд ,Сигизмунд Люксембургски,Sigismund Luksemburški,Zikmund Lucemburský
5670,Manuel II Paleolog,Мануіл II,Мануїл II,Мануил II Палеолог,Мануил II Палеолог,Manuel II. Paleolog,Manuel II. Palaiologos
5671,Knut Wielki,Кнут Вялікі,Канут Великий,Кнуд Великий,Кнут Велики,Knut Veliki,Knut Veliký
5672,Walt Whitman,Уітмен,Волт Вітмен,Уолт Уитмен,Уолт Уитман,Walt Whitman,Walt Whitman
